id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:hua1:花:n,花,花,huā,hua1,N,1,1,1,3,L1-0150,8,"[""flower"",""blossom"",""CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]"",""fancy pattern"",""florid"",""to spend (money, time)"",""(coll.) lecherous"",""lustful""]",hsk30:L1-0150;cc-cedict:花|花[hua1],1231,5.16,true,false,available-unhosted,reading
dex:w:cha2:茶:n,茶,茶,chá,cha2,N,1,1,1,1,L1-0036,3,"[""tea"",""tea plant"",""CL:杯[bei1],壺|壶[hu2]""]",hsk30:L1-0036;cc-cedict:茶|茶[cha2],3669,4.62,true,false,available-unhosted,reading
dex:w:cai4:菜:n,菜,菜,cài,cai4,N,1,1,1,1,L1-0035,4,"[""vegetable; greens (CL:棵[ke1])"",""dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])"",""(of one's skills etc) weak; poor"",""(coll.) (one's) type""]",hsk30:L1-0035;cc-cedict:菜|菜[cai4],3670,4.62,true,false,available-unhosted,reading
dex:w:xing2:行:v,行,行,xíng,xing2,V;Adj,1,1,1,,L1-0416,9,"[""(bound form) to walk; to go; to travel"",""(literary) trip; journey; visit"",""(bound form) temporary; makeshift"",""(bound form) current; in circulation"",""(bound form) to do; to perform"",""capable; competent"",""all right; OK!; will do"",""behavior; conduct (Taiwan pr. [xing4])"",""(literary) about to; soon""]",hsk30:L1-0416;cc-cedict:行|行[xing2],665,5.43,true,false,available-unhosted,reading
dex:w:yi1fu5:衣服:n,衣服,衣服,yīfu,yi1 fu5,N,1,1,1,1,L1-0428,2,"[""clothes"",""CL:件[jian4],套[tao4]""]",hsk30:L1-0428;cc-cedict:衣服|衣服[yi1 fu5],2185,4.9,true,false,available-unhosted,reading
dex:w:xi1:西:n,西,西,xī,xi1,N,1,1,1,3,L1-0384,1,"[""west""]",hsk30:L1-0384;cc-cedict:西|西[xi1],1105,5.2,true,false,available-unhosted,reading
dex:w:xi1bian1:西边:n,西边,西邊,xībian,xi1 bian1,N,1,1,1,,L1-0385,4,"[""west"",""west side"",""western part"",""to the west of""]",hsk30:L1-0385;cc-cedict:西邊|西边[xi1 bian1],16198,3.81,true,false,available-unhosted,reading
dex:w:yao4:要:v,要,要,yào,yao4,V,1,1,1,2,L1-0423,5,"[""to want; to need; to ask for"",""will; shall; about to"",""need to; should"",""if (same as 要是[yao4 shi5])"",""(bound form) important""]",hsk30:L1-0423;cc-cedict:要|要[yao4],63,6.46,true,false,available-unhosted,reading
dex:w:jian4:见:v,见,見,jiàn,jian4,V,1,1,1,,L1-0173,6,"[""to see"",""to meet"",""to appear (to be sth)"",""to interview"",""opinion"",""view""]",hsk30:L1-0173;cc-cedict:見|见[jian4],449,5.59,true,false,available-unhosted,reading
dex:w:jian4mian4:见面:x,见面,見面,jiànmiàn,jian4 mian4,,1,1,1,3,L1-0174,2,"[""to meet; to see each other"",""CL:次[ci4]""]",hsk30:L1-0174;cc-cedict:見面|见面[jian4 mian4],3389,4.66,true,false,available-unhosted,reading
dex:w:jue2de5:觉得:v,觉得,覺得,juéde,jue2 de5,V,1,1,1,2,L1-0187,2,"[""to think that ...; to feel that ..."",""to feel (uncomfortable etc)""]",hsk30:L1-0187;cc-cedict:覺得|觉得[jue2 de5],307,5.75,true,false,available-unhosted,reading
dex:w:ren4zhen1:认真:adj,认真,認真,rènzhēn,ren4 zhen1,Adj,1,1,1,3,L1-0307,5,"[""conscientious"",""earnest"",""serious"",""to take seriously"",""to take to heart""]",hsk30:L1-0307;cc-cedict:認真|认真[ren4 zhen1],1710,5.01,true,false,available-unhosted,reading
dex:w:ren4shi5:认识:v,认识,認識,rènshi,ren4 shi5,V;N,1,1,1,1,L1-0306,8,"[""to know"",""to recognize"",""to be familiar with"",""to get acquainted with sb"",""knowledge"",""understanding"",""awareness"",""cognition""]",hsk30:L1-0306;cc-cedict:認識|认识[ren4 shi5],617,5.46,true,false,available-unhosted,reading
dex:w:ji4:记:v,记,記,jì,ji4,V,1,1,1,,L1-0166,7,"[""to record"",""to note"",""to memorize"",""to remember"",""mark"",""sign"",""classifier for blows, kicks, shots""]",hsk30:L1-0166;cc-cedict:記|记[ji4],2393,4.85,true,false,available-unhosted,reading
dex:w:ji4zhu5:记住:x,记住,記住,jìzhù,ji4 zhu5,,1,1,1,,L1-0168,3,"[""to remember"",""to bear in mind"",""to learn by heart""]",hsk30:L1-0168;cc-cedict:記住|记住[ji4 zhu5],4354,4.53,true,false,available-unhosted,reading
dex:w:ji4de5:记得:v,记得,記得,jìde,ji4 de5,V,1,1,1,3,L1-0167,1,"[""to remember""]",hsk30:L1-0167;cc-cedict:記得|记得[ji4 de5],1511,5.07,true,false,available-unhosted,reading
dex:w:shi4:试:v,试,試,shì,shi4,V,1,1,1,4,L1-0336,5,"[""to test"",""to try"",""experiment"",""examination"",""test""]",hsk30:L1-0336;cc-cedict:試|试[shi4],2970,4.73,true,false,available-unhosted,reading
dex:w:hua4:话:n,话,話,huà,hua4,N,1,1,1,,L1-0151,9,"[""dialect"",""language"",""spoken words"",""speech"",""talk"",""words"",""conversation"",""what sb said"",""CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]""]",hsk30:L1-0151;cc-cedict:話|话[hua4],385,5.65,true,false,available-unhosted,reading
dex:w:shuo1:说:v,说,說,shuō,shuo1,V,1,1,1,,L1-0349,4,"[""to speak; to talk; to say"",""to explain; to comment"",""to scold; to tell off"",""(bound form) theory; doctrine""]",hsk30:L1-0349;cc-cedict:說|说[shuo1],53,6.55,true,false,available-unhosted,reading
dex:w:shuo1hua4:说话:x,说话,說話,shuōhuà,shuo1 hua4,,1,1,1,1,L1-0350,7,"[""to speak"",""to say"",""to talk"",""to gossip"",""to tell stories"",""talk"",""word""]",hsk30:L1-0350;cc-cedict:說話|说话[shuo1 hua4],1320,5.13,true,false,available-unhosted,reading
